Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5031.1yr.L2	5031	A	1yr	369	5.910796644	L2	L	F	Y	1842.33871	4.859109	0.86	311.62		14	0	0	0	14		
5031.1yr.L3	5031	A	1yr	370	5.913503006	L3	L	F	Y	3766.257511	5.453028	0.86	311.62		14	0	0	0	14		
5031.1yr.S1	5031	A	1yr	368	5.908082938	S1	S	F	Y	2388.946429	5.970668	0.86	311.62		14	0	0	0	14		
5031.1yr.S2	5031	A	1yr	369	5.910796644	S2	S	F	Y	2102.866667	5.955085	0.86	311.62		14	0	0	0	14		
5031.1yr.S3	5031	A	1yr	370	5.913503006	S3	S	F	Y	2196.352941	5.942029	0.86	311.62		14	0	0	0	14		
5031.2w.F	5031	A	2w	15	2.708050201	F	F	F	Y	314.2	1.653313	1.22	12.25	764	6	0	0	0	6		
5031.2yr.F	5031	A	2yr	843	6.736966958	F	F	F	N	1651.460938	5.166347	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L1	5031	A	2yr	842	6.735780014	L1	L	F	Y	2528.38914	5.67965	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L2	5031	A	2yr	843	6.736966958	L2	L	F	Y	2062.927602	5.416859	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L3	5031	A	2yr	844	6.738152495	L3	L	F	Y	3719.418103	5.865523	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S1	5031	A	2yr	842	6.735780014	S1	S	F	Y	1915.883721	5.470466	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S2	5031	A	2yr	843	6.736966958	S2	S	F	Y	1958.835681	5.226914	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S3	5031	A	2yr	844	6.738152495	S3	S	F	Y	2799.319838	5.779793	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.4w.F	5031	A	4w	27	3.295836866	F	F	F	N	434.714286	2.236162	0.71	17.69	1422	11	0	0	0	11		
5031.8w.F	5031	A	8w	53	3.970291914	F	F	F	N	652.883721	4.218925	1.37	69.85	11393	11	0	0	0	11		
5032.1yr.F	5032	B	1yr	367	5.905361848	F	F	F	N	2133.005128	5.786485	0.9	328.7		2	0	0	0	9		
5032.2w.F	5032	B	2w	13	2.564949357	F	F	F	N	203.363636	2.107299	0.87	9.53	508	2	0	0	0	2		
5032.2yr.F	5032	B	2yr	836	6.728628613	F	F	F	N	1554.761905	5.344563	0.7	585.74		2	0	0	0	9	2.68	4.16
5032.4w.F	5032	B	4w	26	3.258096538	F	F	F	N	376.677419	3.556675	0.83	19.96	1090	2	0	0	0	2		
5032.8w.F	5032	B	8w	53	3.970291914	F	F	F	N	482.555556	3.722529	1.33	67.59	6772	2	0	0	0	2		
5034.1yr.F	5034	B	1yr	366	5.902633333	F	F	F	N	1736.331492	5.685205	0.88	319.03		5	0	0	0	5		
5034.1yr.L1	5034	B	1yr	366	5.902633333	L1	L	F	Y	2190.40678	5.543084	0.88	319.03		5	0	0	0	5		
5034.1yr.L2	5034	B	1yr	367	5.905361848	L2	L	F	Y	2080.927152	4.927981	0.88	319.03		5	0	0	0	5		
5034.1yr.L3	5034	B	1yr	368	5.908082938	L3	L	F	Y	2157.211321	5.691385	0.88	319.03		5	0	0	0	5		
5034.1yr.S1	5034	B	1yr	366	5.902633333	S1	S	F	Y	2199.702797	6.014059	0.88	319.03		5	0	0	0	5		
5034.1yr.S2	5034	B	1yr	367	5.905361848	S2	S	F	Y	2183.078947	5.627909	0.88	319.03		5	0	0	0	5		
5034.1yr.S3	5034	B	1yr	368	5.908082938	S3	S	F	Y	3318.574163	5.969164	0.88	319.03		5	0	0	0	5		
5034.2w.F	5034	B	2w	12	2.48490665	F	F	F	Y	289.5	1.70832	0.95	9.53	407	2	0	0	0	2		
5034.2yr.F	5034	B	2yr	850	6.745236349	F	F	F	N	1874.149606	5.539263	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.L1	5034	B	2yr	849	6.744059186	L1	L	F	Y	1851.014706	4.667081	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.L2	5034	B	2yr	850	6.745236349	L2	L	F	Y	1786.471338	4.843736	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.L3	5034	B	2yr	851	6.746412129	L3	L	F	Y	1431.744681	4.306133	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S1	5034	B	2yr	849	6.744059186	S1	S	F	Y	1834.571429	4.369582	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S2	5034	B	2yr	850	6.745236349	S2	S	F	Y	1561.314103	4.371573	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S3	5034	B	2yr	851	6.746412129	S3	S	F	Y	1418.971831	4.119111	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.4w.F	5034	B	4w	25	3.218875825	F	F	F	N	455.157895	2.613094	0.81	18.6	1263	5	0	0	0	5		
5034.8w.F	5034	B	8w	53	3.970291914	F	F	F	N	371.75	3.762317	1.2	61.23	10319	5	0	0	0	5		
5035.1yr.F	5035	C	1yr	363	5.894402834	F	F	F	N	2129.692308	5.851812	1.09	396.44		0	0	0	0	0		
5035.1yr.L1	5035	C	1yr	363	5.894402834	L1	L	F	N	1337.534014	5.639951	1.09	396.44		0	0	0	0	0		
5035.1yr.L2	5035	C	1yr	364	5.897153868	L2	L	F	N	1810.812689	5.409914	1.09	396.44		0	0	0	0	0		
5035.1yr.L3	5035	C	1yr	365	5.899897354	L3	L	F	N	1337.106339	5.486084	1.09	396.44		0	0	0	0	0		
5035.1yr.S1	5035	C	1yr	363	5.894402834	S1	S	F	N	2020.462264	5.845912	1.09	396.44		0	0	0	0	0		
5035.1yr.S2	5035	C	1yr	364	5.897153868	S2	S	F	N	2276.157609	5.663401	1.09	396.44		0	0	0	0	0		
5035.1yr.S3	5035	C	1yr	365	5.899897354	S3	S	F	N	2189.505155	5.785089	1.09	396.44		0	0	0	0	0		
5035.2w.F	5035	C	2w	12	2.48490665	F	F	F	N	64	1.294149	0.77	7.71	612	0	0	0	0	0		
5035.2yr.F	5035	C	2yr	841	6.73459166	F	F	F	N	2464.265625	5.205488	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.L1	5035	C	2yr	840	6.733401892	L1	L	F	N	2103.522388	5.339158	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.L2	5035	C	2yr	841	6.73459166	L2	L	F	N	1824.729858	5.577908	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.L3	5035	C	2yr	842	6.735780014	L3	L	F	N	2260.780822	5.591575	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S1	5035	C	2yr	840	6.733401892	S1	S	F	N	2017.693548	5.17583	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S2	5035	C	2yr	841	6.73459166	S2	S	F	N	1683.004444	5.745997	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.S3	5035	C	2yr	842	6.735780014	S3	S	F	N	1873.365079	5.463991	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.4w.F	5035	C	4w	25	3.218875825	F	F	F	N	334.714286	2.931978	0.77	17.69	5238	0	0	0	0	0		
5035.8w.F	5035	C	8w	54	3.988984047	F	F	F	N	752.565217	3.401009	1.55	80.74	45254	0	0	0	0	0		
5037.1yr.F	5037	A	1yr	358	5.880532986	F	F	F	N	2341.445714	5.722823	0.94	343.52		18	6	0	0	24		
5037.2w.F	5037	A	2w	11	2.397895273	F	F	F	N	262.75	2.637034	0.35	3.18	342	5	0	0	0	5		
5037.2yr.F	5037	A	2yr	841	6.73459166	F	F	F	N	1822.913669	5.493622	0.62	527.23		18	6	0	0	24	7.19	9.28
5037.4w.F	5037	A	4w	25	3.218875825	F	F	F	N	382.105263	2.51687	0.18	4.08	1814	11	6	0	0	17		
5037.8w.F	5037	A	8w	54	3.988984047	F	F	F	N	242.142857	3.109039	0.95	49.44	21823	15	6	0	0	21		
5038.1yr.F	5038	C	1yr	358	5.880532986	F	F	F	N	3077	5.797975	0.97	352.89		16	0	0	0	16		
5038.2w.F	5038	C	2w	11	2.397895273	F	F	F	N	262.526316	2.403746	1.26	11.34	155	5	0	0	0	5		
5038.2yr.F	5038	C	2yr	839	6.732210706	F	F	F	N	1844.906475	5.25253	0.68	572.13		16	0	0	0	16	4.11	8.9
5038.4w.F	5038	C	4w	25	3.218875825	F	F	F	N	360.083333	1.98802	0.89	20.41	572	5	0	0	0	5		
5038.8w.F	5038	C	8w	54	3.988984047	F	F	F	N	373	3.198948	1.2	62.6	35465	16	0	0	0	16		
5039.1yr.F	5039	B	1yr	370	5.913503006	F	F	F	N	2724.252809	5.634419	0.89	325.53		17	0	0	0	22		
5039.2w.F	5039	B	2w	16	2.772588722	F	F	F	Y	209.55	2.383957	0.41	4.08	578	9	0	0	0	9		
5039.2yr.F	5039	B	2yr	941	6.84694314	F	F	F	N	1963.144737	5.553263	0.71	665.72		17	0	0	0	22	4.03	5.32
5039.4w.F	5039	B	4w	25	3.218875825	F	F	F	Y	307.6	2.98112	1.01	23.13	1282	16	0	0	0	16		
5039.8w.F	5039	B	8w	54	3.988984047	F	F	F	N	572.636364	4.145736	0.96	49.9	15829	17	0	0	0	17		
5041.1yr.F	5041	A	1yr	364	5.897153868	F	F	F	N	1815.682028	5.787058	0.93	339.44		9	0	0	0	17		
5041.2w.F	5041	A	2w	11	2.397895273	F	F	F	Y	136.3125	1.738937	1.11	9.98	663	5	0	0	0	5		
5041.2yr.F	5041	A	2yr	843	6.736966958	F	F	F	N	1953.197183	5.562298	0.73	620.29		9	0	0	0	17	4.13	6.94
5041.4w.F	5041	A	4w	25	3.218875825	F	F	F	N	381.130435	3.040506	1.89	43.54	3714	9	0	0	0	9		
5041.8w.F	5041	A	8w	54	3.988984047	F	F	F	N	442.947368	3.766609	1.35	70.31	40554	9	0	0	0	9		
5042.1yr.F	5042	C	1yr	363	5.894402834	F	F	F	N	1940.2	5.700237	0.86	312.52		0	0	0	0	13		
5042.2w.F	5042	C	2w	12	2.48490665	F	F	F	N	217	2.546968	1.22	12.25	111	0	0	0	0	0		
5042.2yr.F	5042	C	2yr	838	6.7310181	F	F	F	N	1545.909091	5.283204	0.69	581.28		0	0	0	0	13	3.6	5.9
5042.4w.F	5042	C	4w	27	3.295836866	F	F	F	N	348.157895	3.036077	0.71	17.69	1805	0	0	0	0	0		
5042.8w.F	5042	C	8w	53	3.970291914	F	F	F	N	343.25	3.692526	1.29	65.77	32246	0	0	0	0	0		
5044.1yr.F	5044	B	1yr	369	5.910796644	F	F	F	N	1759.897727	5.74986	0.99	358.94		10	0	0	0	18		
5044.2w.F	5044	B	2w	11	2.397895273	F	F	F	Y	731.181818	3.011101	1.06	9.53	424	3	0	0	0	3		
5044.2yr.F	5044	B	2yr	948	6.854354502	F	F	F	N	2087.384615	5.497901	0.66	625.81		10	0	0	0	18	5.15	6.38
5044.4w.F	5044	B	4w	25	3.218875825	F	F	F	N	739.583333	3.415883	1.03	23.59	2839	10	0	0	0	10		
5044.8w.F	5044	B	8w	53	3.970291914	F	F	F	N	496.272727	4.2905	1.01	51.26	27243	10	0	0	0	10		
