Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5054.1yr.L2	5054	C	1yr	365	5.899897354	L2	L	F	N	36.333333	2.702128	0.88	320.54		5	10	0	0	23		
5054.1yr.L3	5054	C	1yr	366	5.902633333	L3	L	F	N	41	2.483976	0.88	320.54		5	10	0	0	23		
5054.1yr.S1	5054	C	1yr	364	5.897153868	S1	S	F	N	31.6	2.616994	0.88	320.54		5	10	0	0	23		
5054.1yr.S2	5054	C	1yr	365	5.899897354	S2	S	F	N	31.5	2.519811	0.88	320.54		5	10	0	0	23		
5054.1yr.S3	5054	C	1yr	366	5.902633333	S3	S	F	N	42	2.356969	0.88	320.54		5	10	0	0	23		
5054.2yr.F	5054	C	2yr	843	6.736966958	F	F	F	N	235	2.769482	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.L1	5054	C	2yr	841	6.73459166	L1	L	F	N	24	2.145233	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.L2	5054	C	2yr	842	6.735780014	L2	L	F	N	35	1.976567	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.L3	5054	C	2yr	843	6.736966958	L3	L	F	N	19.5	2.108195	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.S1	5054	C	2yr	841	6.73459166	S1	S	F	N	33	2.214482	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.S2	5054	C	2yr	842	6.735780014	S2	S	F	N	32	2.093073	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.S3	5054	C	2yr	843	6.736966958	S3	S	F	N	28.333333	2.16162	0.61	514.07		5	10	0	0	23	6.29	9.35
5055.1yr.F	5055	C	1yr	361	5.888877958	F	F	F	N	25	2.277894	1.01	368.47		7	0	0	0	7		
5057.1yr.F	5057	B	1yr	364	5.897153868	F	F	F	N	33	2.581577	0.97	351.99		5	0	0	0	5		
5057.2yr.F	5057	B	2yr	809	6.695798917	F	F	F	N	55	2.319376	0.71	578.78		5	0	0	0	5	7.6	10.23
5058.1yr.F	5058	A	1yr	364	5.897153868	F	F	F	N	37	2.387868	0.94	341.4		5	0	0	0	14		
5058.2yr.F	5058	A	2yr	752	6.622736324	F	F	F	N	167.857143	3.430957	0.75	566.69		5	0	0	0	14	3.44	5.73
5059.1yr.F	5059	C	1yr	364	5.897153868	F	F	F	N	23.5	2.44634	0.96	348.21		0	0	0	0	11		
5059.2yr.F	5059	C	2yr	814	6.701960366	F	F	F	N	107.666667	3.189052	0.73	598.44		0	0	0	0	11	3.75	5.63
5062.1yr.F	5062	B	1yr	361	5.888877958	F	F	F	N	24	2.114962	0.9	328.85		11	8	0	0	27		
5062.2yr.F	5062	B	2yr	833	6.725033642	F	F	F	N	131.3	3.161531	0.63	522.76		11	0	0	0	27	3.29	4.33
5063.1yr.F	5063	A	1yr	360	5.886104031	F	F	F	N	20	1.756263	0.86	314.34		5	0	0	0	12		
5063.2yr.F	5063	A	2yr	862	6.759255271	F	F	F	N	83.111111	2.877432	0.67	579.69		5	0	1	9	22	4.69	6.67
