Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5022.2yr.S2	5022	B	2yr	805	6.690842277	S2	S	F	Y	21	2.548247	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.S3	5022	B	2yr	806	6.692083743	S3	S	F	Y	21.2	2.621241	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.4w.F	5022	B	4w	27	3.295836866	F	F	F	N	7	0.723514	1.02	25.4	2262	6	0	0	0	6		
5022.8w.F	5022	B	8w	54	3.988984047	F	F	F	N	7	1.17756	1.16	60.33	9809	6	0	0	0	6		
5025.1yr.F	5025	C	1yr	369	5.910796644	F	F	F	N	14.333333	2.254763	0.93	337.17		0	0	0	0	5		
5025.4w.F	5025	C	4w	25	3.218875825	F	F	F	N	8	0.523474	1.1	25.4	950	0	0	0	0	0		
5025.8w.F	5025	C	8w	53	3.970291914	F	F	F	N	4	0.499946	1.02	52.16	11607	0	0	0	0	0		
5026.1yr.F	5026	A	1yr	365	5.899897354	F	F	F	N	16	1.937285	0.98	356.98		1	0	0	0	8		
5026.2w.F	5026	A	2w	11	2.397895273	F	F	F	N	2	0.602152	1.56	14.06	448	0	0	0	0	0		
5026.2yr.F	5026	A	2yr	803	6.688354714	F	F	F	N	13.75	1.947521	0.68	547.49		1	0	1	0	9	5.15	8.31
5026.4w.F	5026	A	4w	26	3.258096538	F	F	F	N	3	1.013665	1.1	26.31	1187	1	0	0	0	1		
5026.8w.F	5026	A	8w	53	3.970291914	F	F	F	N	10	0.611291	1.23	62.6	9506	1	0	0	0	3		
5027.1yr.F	5027	B	1yr	359	5.883322388	F	F	F	N	16	1.746758	0.91	332.94		8	0	0	0	8		
5027.2w.F	5027	B	2w	17	2.833213344	F	F	F	Y	14.333333	1.188522	1.46	13.15	611	7	0	0	0	7		
5027.2yr.F	5027	B	2yr	892	6.793466133	F	F	F	N	12	1.968184	0.65	578.63		8	0	0	0	8	4.97	6.75
5027.4w.F	5027	B	4w	25	3.218875825	F	F	F	N	4	1.046234	0.95	21.77	993	8	0	0	0	8		
5027.8w.F	5027	B	8w	56	4.025351691	F	F	F	N	2	0.098039	1.1	56.25	9725	8	0	0	0	8		
5028.1yr.F	5028	C	1yr	358	5.880532986	F	F	F	N	21.25	1.964375	1	364.39		12	0	0	0	12		
5028.2w.F	5028	C	2w	14	2.63905733	F	F	F	Y	15.857143	1.42215	1.59	19.05	307	1	0	0	0	1		
5028.2yr.F	5028	C	2yr	855	6.751101469	F	F	F	N	15	1.461746	0.67	574.55		12	0	0	10	22	5.89	8.27
5028.4w.F	5028	C	4w	28	3.33220451	F	F	F	N	2	0.135794	1.05	27.22	2095	12	0	0	0	12		
5028.8w.F	5028	C	8w	56	4.025351691	F	F	F	N	4	0.34553	1.36	69.4	20383	12	0	0	0	12		
5031.1yr.F	5031	A	1yr	368	5.908082938	F	F	F	N	18	1.788262	0.86	311.62		14	0	0	0	14		
5031.1yr.L1	5031	A	1yr	368	5.908082938	L1	L	F	Y	26	2.265657	0.86	311.62		14	0	0	0	14		
5031.1yr.L2	5031	A	1yr	369	5.910796644	L2	L	F	Y	30.25	2.039335	0.86	311.62		14	0	0	0	14		
5031.1yr.L3	5031	A	1yr	370	5.913503006	L3	L	F	Y	24.6	2.141896	0.86	311.62		14	0	0	0	14		
5031.1yr.S1	5031	A	1yr	368	5.908082938	S1	S	F	Y	17	1.662861	0.86	311.62		14	0	0	0	14		
5031.1yr.S2	5031	A	1yr	369	5.910796644	S2	S	F	Y	10	1.548555	0.86	311.62		14	0	0	0	14		
5031.1yr.S3	5031	A	1yr	370	5.913503006	S3	S	F	Y	21	1.654606	0.86	311.62		14	0	0	0	14		
5031.2w.F	5031	A	2w	15	2.708050201	F	F	F	Y	6	1.385667	1.22	12.25	764	6	0	0	0	6		
5031.2yr.F	5031	A	2yr	843	6.736966958	F	F	F	N	15.5	2.131597	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L1	5031	A	2yr	842	6.735780014	L1	L	F	Y	32.25	2.400971	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L2	5031	A	2yr	843	6.736966958	L2	L	F	Y	31	2.373226	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L3	5031	A	2yr	844	6.738152495	L3	L	F	Y	23	2.356656	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S1	5031	A	2yr	842	6.735780014	S1	S	F	Y	19.666667	2.288883	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S2	5031	A	2yr	843	6.736966958	S2	S	F	Y	16.428571	2.197459	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S3	5031	A	2yr	844	6.738152495	S3	S	F	Y	20.5	2.266002	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.4w.F	5031	A	4w	27	3.295836866	F	F	F	N	14.375	1.636336	0.71	17.69	1422	11	0	0	0	11		
5031.8w.F	5031	A	8w	53	3.970291914	F	F	F	N	12.333333	0.754642	1.37	69.85	11393	11	0	0	0	11		
5032.1yr.F	5032	B	1yr	367	5.905361848	F	F	F	N	26	1.382758	0.9	328.7		2	0	0	0	9		
5032.2w.F	5032	B	2w	13	2.564949357	F	F	F	N	2	0.500402	0.87	9.53	508	2	0	0	0	2		
5032.2yr.F	5032	B	2yr	836	6.728628613	F	F	F	N	14	1.786197	0.7	585.74		2	0	0	0	9	2.68	4.16
5032.4w.F	5032	B	4w	26	3.258096538	F	F	F	N	2	0.325083	0.83	19.96	1090	2	0	0	0	2		
5032.8w.F	5032	B	8w	53	3.970291914	F	F	F	N	8	1.331346	1.33	67.59	6772	2	0	0	0	2		
5034.1yr.F	5034	B	1yr	366	5.902633333	F	F	F	N	15.333333	1.391151	0.88	319.03		5	0	0	0	5		
5034.1yr.L1	5034	B	1yr	366	5.902633333	L1	L	F	Y	20.2	2.019932	0.88	319.03		5	0	0	0	5		
5034.1yr.L2	5034	B	1yr	367	5.905361848	L2	L	F	Y	18	2.130478	0.88	319.03		5	0	0	0	5		
5034.1yr.L3	5034	B	1yr	368	5.908082938	L3	L	F	Y	23	1.915287	0.88	319.03		5	0	0	0	5		
5034.1yr.S1	5034	B	1yr	366	5.902633333	S1	S	F	Y	18	1.605042	0.88	319.03		5	0	0	0	5		
5034.1yr.S2	5034	B	1yr	367	5.905361848	S2	S	F	Y	21.5	1.903518	0.88	319.03		5	0	0	0	5		
5034.1yr.S3	5034	B	1yr	368	5.908082938	S3	S	F	Y	15	1.646384	0.88	319.03		5	0	0	0	5		
5034.2w.F	5034	B	2w	12	2.48490665	F	F	F	Y	2	0.096509	0.95	9.53	407	2	0	0	0	2		
5034.2yr.F	5034	B	2yr	850	6.745236349	F	F	F	N	19.25	1.456156	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.L1	5034	B	2yr	849	6.744059186	L1	L	F	Y	31	1.521442	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.L2	5034	B	2yr	850	6.745236349	L2	L	F	Y	14.333333	1.247085	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.L3	5034	B	2yr	851	6.746412129	L3	L	F	Y	30	1.750779	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S1	5034	B	2yr	849	6.744059186	S1	S	F	Y	18.5	1.420634	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S2	5034	B	2yr	850	6.745236349	S2	S	F	Y	19	1.754003	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S3	5034	B	2yr	851	6.746412129	S3	S	F	Y	11.5	1.467085	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.4w.F	5034	B	4w	25	3.218875825	F	F	F	N	7	0.787865	0.81	18.6	1263	5	0	0	0	5		
5034.8w.F	5034	B	8w	53	3.970291914	F	F	F	N	8.25	1.350968	1.2	61.23	10319	5	0	0	0	5		
5035.1yr.F	5035	C	1yr	363	5.894402834	F	F	F	N	15.5	1.791543	1.09	396.44		0	0	0	0	0		
5035.1yr.L1	5035	C	1yr	363	5.894402834	L1	L	F	N	23.6	2.140115	1.09	396.44		0	0	0	0	0		
5035.1yr.L2	5035	C	1yr	364	5.897153868	L2	L	F	N	31.25	2.269662	1.09	396.44		0	0	0	0	0		
5035.1yr.L3	5035	C	1yr	365	5.899897354	L3	L	F	N	27.111111	2.596361	1.09	396.44		0	0	0	0	0		
5035.1yr.S1	5035	C	1yr	363	5.894402834	S1	S	F	N	34	1.855632	1.09	396.44		0	0	0	0	0		
5035.1yr.S2	5035	C	1yr	364	5.897153868	S2	S	F	N	19	1.711336	1.09	396.44		0	0	0	0	0		
5035.1yr.S3	5035	C	1yr	365	5.899897354	S3	S	F	N	19	1.869912	1.09	396.44		0	0	0	0	0		
5035.2w.F	5035	C	2w	12	2.48490665	F	F	F	N	3	0.189683	0.77	7.71	612	0	0	0	0	0		
