"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","A2w_A4w",0.397953061459268,"Otu0001",0.611620219966431,0.688273761995528,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.635833968012186","0.419397306865081","0.639849718305164","0.355385618030822"
"2","A2w_A4w",0.167635805533947,"Otu0003",0.427682668558063,0.516181097344512,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.144516374714395","0.330096227125174","0.0437710437710438","0.166750456294433"
"3","A2w_A4w",0.115578536955683,"Otu0017",0.0501549323824625,0.0841816119987999,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__;","0.0574714394516375","0.0892087505903156","0.123591225789246","0.117680855794572"
"4","A2w_A4w",0.114758128526852,"Otu0005",0.225687360417482,0.314981055191356,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.0205788271134806","0.0684124485858676","0.108989898989899","0.209083456936164"
"5","A2w_A4w",0.110400108830719,"Otu0002",0.298369772021257,0.404329492224908,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.085963442498096","0.200146244091732","0.0420875420875421","0.130445388340223"
"6","A2w_A4w",0.021336237243143,"Otu0008",0.351879772106316,0.446015426835647,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0222222222222222","0.086066296582387"
"7","A2w_A4w",0.018522301205954,"Otu0130",0.282745459932777,0.386629574604564,"k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;unclassified;","0.019040365575019","0.0686510143843105","0","0"
"8","A2w_A4w",0.010723868176167,"Otu0039",0.699385002705986,0.761173369907086,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.0099009900990099","0.0356985274798415","0.00134006734006734","0.00353648027121783"
"9","A2w_A8w",0.47763191725026,"Otu0001",0.449664726664579,0.539093845973221,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.635833968012186","0.419397306865081","0.949024618602862","0.0502151718984299"
"10","A2w_A8w",0.196710013510867,"Otu0003",0.0963113495053325,0.150671797683841,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.144516374714395","0.330096227125174","0","0"
