"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","A2w_A4w",0.108112956630374,"Otu000001",0.019103207624897,0.0299806166271181,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii;","0.085412186945739","0.131928428846499","0.199275256446389","0.156979474805151"
"2","A2w_A4w",0.092134122495992,"Otu000003",0.0487894065141656,0.0712969723494741,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii;","0.112157925657628","0.199332840849667","0.111888602005165","0.0928451754335098"
"3","A2w_A4w",0.071761437498658,"Otu000006",0.395105521513813,0.467546564419325,"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens;","0.120431149544667","0.159802354574372","0.0506563989810427","0.0485713978004783"
"4","A2w_A4w",0.043339508951632,"Otu000008",0.000233591776875239,0.000578438177067698,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;unclassified;","0.072081448491073","0.129841253564431","0.00172759908724874","0.00501460703410465"
"5","A2w_A4w",0.04013756892675,"Otu000018",0.00834954911895705,0.0141658834449775,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__coprophilus;","0.00262435219562193","0.00689545612825452","0.0663371571061584","0.138694337300506"
"6","A2w_A4w",0.037222747880127,"Otu000015",0.0537110793105192,0.0776829709168947,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;","0.0675005699675823","0.0736367807401243","0.0173237597230892","0.0222894530677758"
"7","A2w_A4w",0.03713716268758,"Otu000025",0.000713784280033595,0.00159086597089502,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__;","0.0627817299681942","0.106397397851177","0.0024339123162457","0.00430944892779944"
"8","A2w_A4w",0.031174065375542,"Otu000010",0.0101690101409428,0.0169922294588138,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__perfringens;","0.0514791865823778","0.133977516469147","0.000103730939263728","0.000246608329634806"
"9","A2w_A4w",0.031006895500617,"Otu000026",0.0137616109792324,0.0223211889076765,"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;unclassified;","0.0511873662455703","0.147811314652918","0.00238441481153832","0.00546493688076202"
"10","A2w_A4w",0.028525536823007,"Otu000017",0.000292083035032903,0.000704729939666614,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis;","0.0109302967134768","0.0423020535820284","0.0392829211875677","0.105401002289802"
