"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"21","A8w_A1yr",0.03367602940174,"Otu0010",0.00838881647312957,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0677753082136737","0.0305319570432675"
"22","A8w_A1yr",0.011526212564945,"Otu0015",0.0224788733661253,0.0461132028398551,"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Methanomassiliicoccaceae;g__vadinCA11;s__;","0","0","0.0232305337581152","0.0153966180131083"
"23","A8w_A1yr",0.0102263915059499,"Otu0013",0.00729035809153563,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.020570346671177","0.00984993798880663"
"24","A8w_A2yr",0.503864499089307,"Otu0001",0.000198402404585972,0.00175437119826334,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.993265993265993","0.00583182090090528","0","0"
"25","A8w_A2yr",0.104622801850404,"Otu0002",0.0088134015819216,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.210908166080246","0.0426439224680922"
"26","A8w_A2yr",0.098160500687588,"Otu0009",0.00906076136661405,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.197765956825574","0.0750846605898576"
"27","A8w_A2yr",0.074731195056163,"Otu0007",0.00906076136661405,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.150648643593837","0.0593766581078373"
"28","A8w_A2yr",0.039714775981177,"Otu0003",0.00869101106369745,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0800630264636204","0.0195590933866083"
"29","A8w_A2yr",0.0311600457736,"Otu0005",0.00869101106369745,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0627880663122602","0.0183103461789385"
"30","A8w_A2yr",0.023891969860686,"Otu0010",0.00685180673411106,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0481191222289296","0.0129896935668972"
"31","A8w_A2yr",0.02136317345128,"Otu0006",0.00838881647312957,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.00336700336700337","0.00583182090090531","0.0465322561067319","0.0232943184446837"
"32","A8w_A2yr",0.021340765552685,"Otu0011",0.0078007684741576,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0429984749645047","0.0185440080331719"
"33","A8w_A2yr",0.016660755883124,"Otu0008",0.00832902841227328,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0335996115350671","0.0140795454436406"
"34","A8w_A2yr",0.015376380280952,"Otu0020",0.00762863813311333,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0310033089312554","0.0237198445413962"
"35","A8w_C1yr",0.502137463094871,"Otu0001",0.000198402404585972,0.00175437119826334,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.993265993265993","0.00583182090090528","0","0"
"36","A8w_C1yr",0.0889523307544451,"Otu0007",0.00899859991073017,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.178706449842772","0.136556257984785"
"37","A8w_C1yr",0.074087146829667,"Otu0003",0.00844882190903382,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.148903734864247","0.104834624944809"
"38","A8w_C1yr",0.063847906893576,"Otu0002",0.0433655716267697,0.078786334862967,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.128281735804287","0.133080887748094"
"39","A8w_C1yr",0.0579192578185279,"Otu0006",0.0136254065952002,0.0302098661378428,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.00336700336700337","0.00583182090090531","0.11985423790468","0.097121340139755"
"40","A8w_C1yr",0.0445507838525301,"Otu0008",0.00838881647312957,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0892209182433777","0.0850096585493964"
"41","A8w_C1yr",0.032789287175008,"Otu0011",0.00875209859892433,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0659088374363595","0.0483792572823456"
"42","A8w_C1yr",0.027637413660511,"Otu0009",0.00785858640200963,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.055468207081333","0.0340333686966745"
"43","A8w_C1yr",0.025954677508505,"Otu0010",0.00875209859892433,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0521275028937952","0.0257450215728039"
"44","A8w_C1yr",0.0148927864574331,"Otu0013",0.00850904440486129,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0299122008092001","0.0187760429942933"
"45","A8w_C1yr",0.011912938236608,"Otu0015",0.0151081655439713,0.0317343764296814,"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Methanomassiliicoccaceae;g__vadinCA11;s__;","0","0","0.0239245661166685","0.0165730276850507"
"46","A8w_C2yr",0.503731512889185,"Otu0001",0.000198402404585972,0.00175437119826334,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.993265993265993","0.00583182090090528","0","0"
"47","A8w_C2yr",0.081416210212113,"Otu0006",0.0388784864113918,0.0735674807525906,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.00336700336700337","0.00583182090090531","0.167098427154617","0.171669906264684"
