amplicon	Type	variable	beta	test	filetype	2yr-1yr	4w-2w	8w-1yr	8w-4w	B-A	B1yr-A1yr	B2w-A2w	B2yr-A2yr	B4w-A4w	B8w-A8w	C-A	C-B	C1yr-A1yr	C1yr-B1yr	C2w-A2w	C2w-B2w	C2yr-A2yr	C2yr-B2yr	C4w-A4w	C4w-B4w	C8w-A8w	C8w-B8w	1
A	F	OTU	bray	permdisp	txt	0.990627524872892	0.58695425703996	0.97163471065313	0.931081963835644	0.425435412159045	1	0.914281719049469	0.999952725135024	0.998476068326625	1.27449741552654e-5	0.59297695398841	0.0679034414986658	0.99999999788045	0.999999993279682	0.999993136978138	0.455612361044093	0.999943535227716	1	0.934455754637201	0.250108273790912	0.946758837193992	0.00678687582905735	NA
A	L	OTU	bray	permdisp	txt	0.9316731395104	NA	0.817642665588087	NA	0.554506910000291	0.999998554743939	NA	5.12354268855653e-6	NA	2.82728440659241e-8	0.659859277190266	0.984579283354375	0.99684401213217	0.999878382312673	NA	NA	1.03245674134556e-5	0.999999969723037	NA	NA	0.999548994208511	3.56640365017924e-7	NA
A	S	OTU	bray	permdisp	txt	0.50035103039979	NA	0.0087146875109001	NA	0.924013360177059	0.999999875075767	NA	0.0181057912299997	NA	2.98924818009638e-7	0.7374021815977	0.928758090933518	0.999996568427023	0.999833516234361	NA	NA	0.0022304099734054	0.999166809085636	NA	NA	0.846548101585619	1.27604118231872e-4	NA
B	F	OTU	bray	permdisp	txt	0.613060310541669	0.00366286496059542	0	0.110848605008584	0.892072741866013	0.999999999984441	0.999861521005526	1	0.999309168684468	0.997415238425531	0.876615191636986	0.999157359959032	1	0.999999969153788	0.999745806423885	1	1	1	0.999689585810544	1	0.995255765305815	1	NA
B	L	OTU	bray	permdisp	txt	0.393917697739077	NA	0	NA	0.848971897182749	0.993795409993366	NA	0.00107504817168691	NA	0.986508525787898	0.960557424984792	0.959062792074391	0.978166038269173	0.999999946868878	NA	NA	0.120973699693656	0.812148349353091	NA	NA	0.999384108661743	0.796947752872184	NA
B	S	OTU	bray	permdisp	txt	0.227903380210004	NA	0	NA	0.96306697129984	0.999998123896499	NA	0.0492082836400277	NA	0.955111066131385	0.997936353612349	0.978168032325834	0.998751680802819	0.98601775062767	NA	NA	0.187854533519484	0.999729468479246	NA	NA	0.989659390019406	0.457827296230584	NA
F	F	OTU	bray	permdisp	txt	NA	NA	NA	NA	0.670220424065108	0.436403980475797	NA	0.999847388147822	NA	NA	0.996286311913907	0.636990796684497	0.996906493362361	0.196588597720871	NA	NA	0.890720916127924	0.959582361325396	NA	NA	NA	NA	2.95865182131649e-7
F	L	OTU	bray	permdisp	txt	0.00149798494365061	NA	3.39974705785728e-4	NA	0.99614835638212	0.881568544547039	NA	0.00805802233266872	NA	0.998779145251112	0.984674297078735	0.996142861261495	0.988737668057754	0.307559409957052	NA	NA	0.999995043796958	0.0221876456884037	NA	NA	0.999642492148902	0.999999999388872	NA
F	S	OTU	bray	permdisp	txt	0.151545163983019	NA	2.69193319692107e-4	NA	0.984371034690032	0.895819678483473	NA	0.124830220806951	NA	0.999999877034762	0.97643261185968	0.924695236756559	0.999603522538774	0.557162861081222	NA	NA	0.9998160649993	0.0318596284942586	NA	NA	0.99999999967297	0.999999999267067	NA
