"Succinate"	"Lactate"	"Formate"	"Acetate"	"Propionate"	"Isobutyrate"	"ETOH"	"Butyrate"	"iVal.2MB"	"Valerate"	"Caproate"	"VFA_total_mM"	"branch_mM"	"Acetate_mF"	"Propionate_mF"	"Butyrate_mF"	"Valerate_mF"	"branch_mF"
"Otu00001"	-0.250735656322889	-0.329475287594529	0.193233521791732	0.202541231671183	0.0829454567796273	0.287415652561964	-0.239876096017322	0.194825375226566	0.349142504118896	-0.00578689233346237	-0.435577498853784	0.0713716721127026	0.310563221895814	0.0983771696688603	-0.106093026113477	0.0713716721127026	-0.302847365451197	0.295131509006581
"Otu00002"	-0.153710666233922	-0.313649438236947	0.144978508666223	0.275247863753423	0.134695763113377	0.345523914073446	-0.195552407038161	0.286960538806761	0.462650664606818	0.0136647875622267	-0.389942544835123	0.0448985877044591	0.286960538806761	0.103461962971145	-0.169833788273389	0.138599988131156	-0.286960538806761	0.380661939233458
"Otu00003"	-0.309205805795115	-0.335719831132296	0.013352708818546	0.179747147729051	-0.0173948852641017	0.29571304948973	-0.407257618965654	0.102436546555266	0.438737661661233	-0.144957377200848	-0.511972742476751	-0.0367225355575481	0.222267978374633	0.299578579548419	-0.342099410194001	-0.160419497435605	-0.34596494025269	0.249326688785458
"Otu00004"	-0.214215549118499	-0.390670290764976	-0.163322001372317	0.327025196864101	0.204883255866666	0.334905322089742	-0.30963129426835	0.31914507163846	0.508268077053844	0.0315205009025639	-0.367857427070671	-0.0945615027076918	0.0630410018051279	0.24034381938205	-0.244283881994871	-0.133962128835897	-0.177302817576922	0.0827413148692304
"Otu00005"	-0.230941023565129	-0.136991810091595	0.498160077826913	-0.335749126329009	-0.466443417114798	-0.227588333954563	-0.264647541345547	-0.362789324422621	-0.182521337131877	-0.295188829188592	-0.195702585845135	-0.101400742851043	0.14196103999146	0.137454340309192	-0.159987838720535	-0.069853845075163	-0.26814863109498	0.200548135860952
"Otu00006"	-0.265144819198733	-0.498641010289825	-0.211772183317637	0.233549683248457	0.0856348838577675	0.221872199086034	-0.356315102089992	0.116774841624228	0.34253953543107	-0.264689641014918	-0.498641010289825	-0.0739573996953447	0.140129809949074	0.237442177969264	-0.214087209644419	-0.124559831065844	-0.323077061827032	0.202409725481996
"Otu00007"	-0.189911815337959	0.0721687836487032	0.442861048174611	-0.294398155854065	-0.375120230846308	-0.0237417867624246	-0.246033915652561	-0.313391585264004	-0.166192507336972	-0.118708933812123	-0.171830437258817	0.0142450720574547	0.189934294099397	0.0522319308773341	-0.0807220749922435	0.0332385014673944	-0.118708933812123	0.265908011739155
"Otu00008"	-0.155237691861147	-0.158880426738788	0.424052242228452	-0.37839152938821	-0.430384258617124	-0.147312732815257	-0.0848104484456905	-0.384168499302534	-0.199305462044172	-0.25707516118741	-0.0501727663385645	-0.274406070930381	-0.112650913329314	0.262852131101734	-0.320621830244972	-0.0606581841004001	-0.0433272743574286	0.199305462044172
"Otu00009"	-0.0906547155367369	-0.0377964473009227	0.250548676000943	-0.37426696030475	-0.443898022687029	-0.182781538753483	-0.0901975233603395	-0.362661783241037	-0.113150476371204	-0.432292845623316	-0.180583025993297	-0.0841375337119206	0.078334945180064	0.0957427107756338	-0.113150476371204	-0.0145064713296415	-0.182781538753483	0.205991892880909
"Otu00010"	-0.286203679893385	-0.0837024378844071	0.339571053112184	-0.5273710125707	-0.666152857984043	-0.235929137202682	-0.243692167527567	-0.60138799679115	-0.282189752340463	-0.388589167157358	-0.224322533530211	-0.161912152982233	0.0832691072480053	0.217424891147569	-0.249807321744016	-0.0925212302755615	-0.152660029954676	0.291441875368019
