"ETOH"	"Lactate"
"Otu000001"	0	0
"Otu000002"	0.029012942659283	-0.0845154254728517
"Otu000003"	0	-0.188982236504614
"Otu000004"	-0.4707919090692	-0.114285714285714
"Otu000005"	-0.341881729378914	-0.295084445425327
"Otu000006"	NA	NA
"Otu000007"	NA	NA
"Otu000008"	NA	NA
"Otu000009"	-0.461593091172498	-0.567733589433837
"Otu000010"	NA	NA
"Otu000011"	-0.369274472937998	-0.418330013267038
"Otu000012"	NA	NA
"Otu000013"	-0.341881729378914	-0.295084445425327
"Otu000014"	NA	NA
"Otu000015"	0.0449466574975495	-0.523722936566382
"Otu000016"	NA	NA
"Otu000017"	NA	NA
"Otu000018"	NA	NA
"Otu000019"	NA	NA
"Otu000020"	-0.369274472937998	0.358568582800318
"Otu000021"	NA	NA
"Otu000022"	-0.303894870559034	-0.0737711113563317
"Otu000023"	0.1176979772673	0.228571428571429
"Otu000024"	NA	NA
"Otu000025"	NA	NA
"Otu000026"	0.404519917477945	0.392792202424786
"Otu000027"	-0.369274472937998	0.358568582800318
"Otu000028"	NA	NA
"Otu000029"	NA	NA
"Otu000030"	NA	NA
"Otu000031"	0.314626602482846	-0.218217890235992
"Otu000032"	NA	NA
"Otu000033"	-0.369274472937998	-0.418330013267038
"Otu000034"	0.465242105199235	0
"Otu000035"	NA	NA
"Otu000036"	NA	NA
"Otu000037"	NA	NA
"Otu000038"	NA	NA
"Otu000039"	0.17654696590095	0.342857142857143
"Otu000040"	0.372193684159388	-0.271052370871575
"Otu000041"	0.494413232473044	-0.0436435780471985
"Otu000042"	NA	NA
"Otu000043"	NA	NA
"Otu000044"	NA	NA
"Otu000045"	NA	NA
"Otu000046"	0.123091490979333	0.239045721866879
"Otu000047"	-0.580763206912502	-0.634416639165217
"Otu000048"	NA	NA
"Otu000049"	-0.369274472937998	-0.418330013267038
"Otu000050"	0.226277864342333	0.0313882410287172
"Otu000051"	0.273115496799568	-0.165748386032949
"Otu000052"	NA	NA
"Otu000053"	NA	NA
"Otu000054"	NA	NA
"Otu000055"	NA	NA
"Otu000056"	0.246182981958665	0.119522860933439
"Otu000057"	0.494413232473044	0.480079358519183
"Otu000058"	-0.369274472937998	-0.418330013267038
"Otu000059"	NA	NA
"Otu000060"	-0.123091490979333	0
"Otu000061"	NA	NA
"Otu000062"	0.203090598614981	0.253546276418555
"Otu000063"	-0.369274472937998	-0.418330013267038
"Otu000064"	-0.584684582151831	-0.448210728500398
"Otu000065"	NA	NA
"Otu000066"	NA	NA
"Otu000067"	NA	NA
"Otu000068"	-0.0953462589245592	-0.0925820099772551
"Otu000069"	NA	NA
"Otu000070"	NA	NA
"Otu000071"	0.0449466574975495	-0.523722936566382
"Otu000072"	NA	NA
"Otu000073"	-0.319142369252113	-0.478920744346159
"Otu000074"	0.212121212121212	0.382518426118725
"Otu000075"	NA	NA
"Otu000076"	NA	NA
"Otu000077"	-0.0379868588198793	-0.368855556781659
"Otu000078"	NA	NA
"Otu000079"	0.377168254570679	0.309889893400456
"Otu000080"	0.725323566482074	0.253546276418555
"Otu000081"	0.314626602482846	-0.218217890235992
"Otu000082"	-0.0379868588198793	-0.368855556781659
"Otu000083"	NA	NA
"Otu000084"	-0.369274472937998	-0.418330013267038
"Otu000085"	NA	NA
"Otu000086"	-0.539359889970594	-0.611010092660779
"Otu000087"	NA	NA
"Otu000088"	NA	NA
"Otu000089"	-0.34960294939005	0.216024689946929
"Otu000090"	NA	NA
"Otu000091"	NA	NA
"Otu000092"	-0.369274472937998	-0.418330013267038
"Otu000093"	-0.369274472937998	-0.418330013267038
"Otu000094"	NA	NA
"Otu000095"	NA	NA
"Otu000096"	-0.222474604157305	0.216024689946929
"Otu000097"	0.467099366496914	0.151185789203691
"Otu000098"	0.290928682725856	0.0313882410287172
"Otu000099"	0.492365963917331	-0.239045721866879
"Otu000100"	NA	NA
"Otu000101"	NA	NA
"Otu000102"	0.145064713296415	0.197202659436654
"Otu000103"	NA	NA
"Otu000104"	-0.2353959545346	0.171428571428571
"Otu000105"	0.0930484210398471	-0.496929346597888
"Otu000106"	NA	NA
"Otu000107"	NA	NA
"Otu000108"	NA	NA
"Otu000109"	0.224733287487747	-0.130930734141595
"Otu000110"	-0.314626602482846	-0.261861468283191
"Otu000111"	NA	NA
"Otu000112"	-0.53181602347831	-0.0737711113563317
"Otu000113"	NA	NA
"Otu000114"	NA	NA
"Otu000115"	NA	NA
"Otu000116"	NA	NA
"Otu000117"	NA	NA
"Otu000118"	NA	NA
"Otu000119"	NA	NA
"Otu000120"	NA	NA
"Otu000121"	NA	NA
"Otu000122"	-0.134839972492648	-0.0872871560943969
"Otu000123"	-0.455842305838552	0
"Otu000124"	-0.123091490979333	0
"Otu000125"	NA	NA
"Otu000126"	NA	NA
"Otu000127"	-0.0379868588198793	-0.368855556781659
"Otu000128"	NA	NA
"Otu000129"	NA	NA
"Otu000130"	-0.369274472937998	-0.418330013267038
"Otu000131"	NA	NA
"Otu000132"	0.242424242424242	0.3530939318019
"Otu000133"	0.558290526239082	-0.0903507902905251
"Otu000134"	NA	NA
"Otu000135"	-0.174077655955698	-0.0676123403782813
"Otu000136"	NA	NA
"Otu000137"	NA	NA
"Otu000138"	NA	NA
"Otu000139"	-0.369274472937998	-0.418330013267038
"Otu000140"	NA	NA
"Otu000141"	NA	NA
"Otu000142"	NA	NA
"Otu000143"	NA	NA
"Otu000144"	NA	NA
"Otu000145"	-0.404519917477945	-0.349148624377588
"Otu000146"	0.29424494316825	0.342857142857143
"Otu000147"	NA	NA
"Otu000148"	0.0379868588198793	0.553283335172488
"Otu000149"	NA	NA
"Otu000150"	NA	NA
"Otu000151"	-0.290381603456251	-0.281962950740097
"Otu000152"	NA	NA
"Otu000153"	NA	NA
"Otu000154"	-0.113960576459638	-0.44262666813799
"Otu000155"	NA	NA
"Otu000156"	NA	NA
"Otu000157"	-0.307254933899513	-0.298347094859308
"Otu000158"	NA	NA
"Otu000159"	NA	NA
"Otu000160"	NA	NA
"Otu000161"	NA	NA
"Otu000162"	NA	NA
"Otu000163"	NA	NA
"Otu000164"	-0.379868588198793	-0.147542222712663
"Otu000165"	NA	NA
"Otu000166"	NA	NA
"Otu000167"	0.5884898863365	0.285714285714286
"Otu000168"	NA	NA
"Otu000169"	-0.319142369252113	0.0281718084909506
"Otu000170"	0.447811075519899	0.144942758913112
"Otu000171"	NA	NA
"Otu000172"	0.553911709406997	0.268926437100239
"Otu000173"	NA	NA
"Otu000174"	-0.369274472937998	-0.418330013267038
"Otu000175"	NA	NA
"Otu000176"	-0.369274472937998	-0.418330013267038
"Otu000177"	NA	NA
"Otu000178"	NA	NA
"Otu000179"	NA	NA
"Otu000180"	NA	NA
"Otu000181"	NA	NA
"Otu000182"	NA	NA
"Otu000183"	-0.369274472937998	-0.418330013267038
"Otu000184"	-0.369274472937998	-0.418330013267038
"Otu000185"	NA	NA
"Otu000186"	NA	NA
"Otu000187"	NA	NA
"Otu000188"	NA	NA
"Otu000189"	NA	NA
"Otu000190"	NA	NA
"Otu000191"	-0.369274472937998	-0.418330013267038
"Otu000192"	NA	NA
"Otu000193"	NA	NA
"Otu000194"	NA	NA
"Otu000195"	NA	NA
"Otu000196"	NA	NA
"Otu000197"	NA	NA
"Otu000198"	NA	NA
"Otu000199"	NA	NA
"Otu000200"	NA	NA
"Otu000201"	NA	NA
"Otu000202"	NA	NA
"Otu000203"	NA	NA
"Otu000204"	NA	NA
"Otu000205"	0.0449466574975495	-0.523722936566382
"Otu000206"	NA	NA
"Otu000207"	NA	NA
"Otu000208"	NA	NA
