Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5047.2yr.S2	5047	C	2yr	882	6.782192056	S2	S	F	N	125.333333	2.223005	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.S3	5047	C	2yr	883	6.783325201	S3	S	F	N	88.5	2.289026	0.72	637.3		2	0	0	0	10	3.58	3.86
5048.1yr.F	5048	B	1yr	363	5.894402834	F	F	F	N	60.5	2.466754	0.92	336.57		0	0	0	0	8		
5048.1yr.L1	5048	B	1yr	363	5.894402834	L1	L	F	N	72	2.788661	0.92	336.57		0	0	0	0	8		
5048.1yr.L2	5048	B	1yr	364	5.897153868	L2	L	F	N	93.428571	2.922484	0.92	336.57		0	0	0	0	8		
5048.1yr.L3	5048	B	1yr	365	5.899897354	L3	L	F	N	144.142857	2.810596	0.92	336.57		0	0	0	0	8		
5048.1yr.S1	5048	B	1yr	363	5.894402834	S1	S	F	N	98.5	2.49949	0.92	336.57		0	0	0	0	8		
5048.1yr.S2	5048	B	1yr	364	5.897153868	S2	S	F	N	62.428571	2.664889	0.92	336.57		0	0	0	0	8		
5048.1yr.S3	5048	B	1yr	365	5.899897354	S3	S	F	N	72	2.883347	0.92	336.57		0	0	0	0	8		
5048.2yr.F	5048	B	2yr	857	6.753437919	F	F	F	N	457.517241	3.891731	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.L1	5048	B	2yr	856	6.752270376	L1	L	F	N	56.428571	2.17763	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.L2	5048	B	2yr	857	6.753437919	L2	L	F	N	43.2	2.009939	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.L3	5048	B	2yr	858	6.754604099	L3	L	F	N	60.375	2.3218	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.S1	5048	B	2yr	856	6.752270376	S1	S	F	N	63.428571	2.172699	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.S2	5048	B	2yr	857	6.753437919	S2	S	F	N	81	2.203403	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.S3	5048	B	2yr	858	6.754604099	S3	S	F	N	105	2.339126	0.55	473.4		0	0	0	9	17	5.15	8.24
5049.1yr.F	5049	A	1yr	359	5.883322388	F	F	F	N	53.2	2.36594	0.86	314.49		0	6	0	0	26		
5049.2yr.F	5049	A	2yr	867	6.765038977	F	F	F	N	591.833333	3.535621	0.69	596.47		0	6	0	9	35	8.06	15.42
5050.1yr.F	5050	B	1yr	369	5.910796644	F	F	F	N	128	3.056861	0.8	289.69		0	0	0	0	8		
5050.2yr.F	5050	B	2yr	842	6.735780014	F	F	F	N	597.4375	3.493025	0.66	553.53		0	0	0	119	127	5.69	9.48
5051.1yr.F	5051	C	1yr	369	5.910796644	F	F	F	N	100.857143	2.635642	0.86	314.49		0	0	0	0	23		
5051.2yr.F	5051	C	2yr	840	6.733401892	F	F	F	N	456.130435	3.709173	0.63	533.73		0	0	0	40	63	3.09	4.97
5052.1yr.F	5052	B	1yr	367	5.905361848	F	F	F	N	57.5	2.446664	0.85	309.35		0	0	0	0	9		
5052.1yr.L1	5052	B	1yr	367	5.905361848	L1	L	F	N	78.875	2.702308	0.85	309.35		0	0	0	0	9		
5052.1yr.L2	5052	B	1yr	368	5.908082938	L2	L	F	N	87.75	2.543193	0.85	309.35		0	0	0	0	9		
5052.1yr.L3	5052	B	1yr	369	5.910796644	L3	L	F	N	86.142857	2.357685	0.85	309.35		0	0	0	0	9		
5052.1yr.S1	5052	B	1yr	367	5.905361848	S1	S	F	N	65.666667	2.449067	0.85	309.35		0	0	0	0	9		
5052.1yr.S2	5052	B	1yr	368	5.908082938	S2	S	F	N	72.6	2.299379	0.85	309.35		0	0	0	0	9		
5052.1yr.S3	5052	B	1yr	369	5.910796644	S3	S	F	N	54.166667	2.123952	0.85	309.35		0	0	0	0	9		
5052.2yr.F	5052	B	2yr	1033	6.940222469	F	F	F	N	287.391304	3.370044	0.59	608.72		0	0	0	0	9	4.07	4.91
5052.2yr.L1	5052	B	2yr	1032	6.939253946	L1	L	F	N	166.6	2.24125	0.59	608.72		0	0	0	0	9	4.07	4.91
5052.2yr.L2	5052	B	2yr	1033	6.940222469	L2	L	F	N	85.909091	2.174721	0.59	608.72		0	0	0	0	9	4.07	4.91
5052.2yr.L3	5052	B	2yr	1034	6.941190055	L3	L	F	N	160	2.350084	0.59	608.72		0	0	0	0	9	4.07	4.91
5052.2yr.S1	5052	B	2yr	1032	6.939253946	S1	S	F	N	146	2.179834	0.59	608.72		0	0	0	0	9	4.07	4.91
5052.2yr.S2	5052	B	2yr	1033	6.940222469	S2	S	F	N	169.25	2.244188	0.59	608.72		0	0	0	0	9	4.07	4.91
5052.2yr.S3	5052	B	2yr	1034	6.941190055	S3	S	F	N	157.166667	2.172834	0.59	608.72		0	0	0	0	9	4.07	4.91
5053.1yr.F	5053	A	1yr	365	5.899897354	F	F	F	N	84.5	2.604234	0.93	339.14		18	12	0	0	38		
5053.1yr.L1	5053	A	1yr	365	5.899897354	L1	L	F	N	84.625	2.806834	0.93	339.14		18	12	0	0	38		
5053.1yr.L2	5053	A	1yr	366	5.902633333	L2	L	F	N	106.111111	2.856464	0.93	339.14		18	12	0	0	38		
5053.1yr.L3	5053	A	1yr	367	5.905361848	L3	L	F	N	67.375	2.688047	0.93	339.14		18	12	0	0	38		
5053.1yr.S1	5053	A	1yr	365	5.899897354	S1	S	F	N	65	2.68768	0.93	339.14		18	12	0	0	38		
5053.1yr.S2	5053	A	1yr	366	5.902633333	S2	S	F	N	56.375	2.696414	0.93	339.14		18	12	0	0	38		
5053.1yr.S3	5053	A	1yr	367	5.905361848	S3	S	F	N	67.857143	2.476054	0.93	339.14		18	12	0	0	38		
5053.2yr.F	5053	A	2yr	827	6.717804695	F	F	F	N	223.615385	2.693982	0.6	494.11		18	12	0	0	44	4.22	5.54
5053.2yr.L1	5053	A	2yr	826	6.716594774	L1	L	F	N	133	2.601252	0.6	494.11		18	12	0	0	44	4.22	5.54
5053.2yr.L2	5053	A	2yr	827	6.717804695	L2	L	F	N	90.857143	2.549992	0.6	494.11		18	12	0	0	44	4.22	5.54
5053.2yr.L3	5053	A	2yr	828	6.719013154	L3	L	F	N	75.6	2.550467	0.6	494.11		18	12	0	0	44	4.22	5.54
5053.2yr.S1	5053	A	2yr	826	6.716594774	S1	S	F	N	117	2.569069	0.6	494.11		18	12	0	0	44	4.22	5.54
5053.2yr.S2	5053	A	2yr	827	6.717804695	S2	S	F	N	147	2.553273	0.6	494.11		18	12	0	0	44	4.22	5.54
5053.2yr.S3	5053	A	2yr	828	6.719013154	S3	S	F	N	85.230769	2.568841	0.6	494.11		18	12	0	0	44	4.22	5.54
5054.1yr.F	5054	C	1yr	364	5.897153868	F	F	F	N	106.25	2.958075	0.88	320.54		5	10	0	0	23		
5054.1yr.L1	5054	C	1yr	364	5.897153868	L1	L	F	N	110.166667	2.874799	0.88	320.54		5	10	0	0	23		
5054.1yr.L2	5054	C	1yr	365	5.899897354	L2	L	F	N	95.428571	2.874915	0.88	320.54		5	10	0	0	23		
5054.1yr.L3	5054	C	1yr	366	5.902633333	L3	L	F	N	96.5	2.612247	0.88	320.54		5	10	0	0	23		
5054.1yr.S1	5054	C	1yr	364	5.897153868	S1	S	F	N	81.875	2.764003	0.88	320.54		5	10	0	0	23		
5054.1yr.S2	5054	C	1yr	365	5.899897354	S2	S	F	N	74.428571	2.626803	0.88	320.54		5	10	0	0	23		
5054.1yr.S3	5054	C	1yr	366	5.902633333	S3	S	F	N	58.166667	2.443256	0.88	320.54		5	10	0	0	23		
5054.2yr.F	5054	C	2yr	843	6.736966958	F	F	F	N	330.045455	3.278849	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.L1	5054	C	2yr	841	6.73459166	L1	L	F	N	59	2.275311	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.L2	5054	C	2yr	842	6.735780014	L2	L	F	N	93.5	2.076016	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.L3	5054	C	2yr	843	6.736966958	L3	L	F	N	86.166667	2.271986	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.S1	5054	C	2yr	841	6.73459166	S1	S	F	N	164	2.358659	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.S2	5054	C	2yr	842	6.735780014	S2	S	F	N	106	2.259765	0.61	514.07		5	10	0	0	23	6.29	9.35
5054.2yr.S3	5054	C	2yr	843	6.736966958	S3	S	F	N	68.333333	2.292825	0.61	514.07		5	10	0	0	23	6.29	9.35
5055.1yr.F	5055	C	1yr	361	5.888877958	F	F	F	N	56	2.355909	1.01	368.47		7	0	0	0	7		
5057.1yr.F	5057	B	1yr	364	5.897153868	F	F	F	N	94.625	2.712622	0.97	351.99		5	0	0	0	5		
5057.2yr.F	5057	B	2yr	809	6.695798917	F	F	F	N	64.956522	2.554588	0.71	578.78		5	0	0	0	5	7.6	10.23
5058.1yr.F	5058	A	1yr	364	5.897153868	F	F	F	N	64.25	2.444199	0.94	341.4		5	0	0	0	14		
5058.2yr.F	5058	A	2yr	752	6.622736324	F	F	F	N	607.096774	4.194475	0.75	566.69		5	0	0	0	14	3.44	5.73
5059.1yr.F	5059	C	1yr	364	5.897153868	F	F	F	N	74	2.558507	0.96	348.21		0	0	0	0	11		
5059.2yr.F	5059	C	2yr	814	6.701960366	F	F	F	N	325.045455	3.635167	0.73	598.44		0	0	0	0	11	3.75	5.63
5062.1yr.F	5062	B	1yr	361	5.888877958	F	F	F	N	41	2.180264	0.9	328.85		11	8	0	0	27		
5062.2yr.F	5062	B	2yr	833	6.725033642	F	F	F	N	449.666667	3.785464	0.63	522.76		11	0	0	0	27	3.29	4.33
5063.1yr.F	5063	A	1yr	360	5.886104031	F	F	F	N	77.75	1.881549	0.86	314.34		5	0	0	0	12		
5063.2yr.F	5063	A	2yr	862	6.759255271	F	F	F	N	387	3.385116	0.67	579.69		5	0	1	9	22	4.69	6.67
