"","Comparison","SIMPER","OTU"
"916","B8w_C1yr",0.139600908758037,"Otu0002"
"917","B8w_C1yr",0.129420687442682,"Otu0001"
"918","B8w_C1yr",0.110696244525386,"Otu0007"
"919","B8w_C1yr",0.062178824331735,"Otu0006"
"920","B8w_C1yr",0.040804414207237,"Otu0011"
"921","B8w_C1yr",0.034393286258964,"Otu0009"
"922","B8w_C1yr",0.034070084782539,"Otu0010"
"923","B8w_C1yr",0.0185332547642749,"Otu0013"
"924","B8w_C1yr",0.014852787196582,"Otu0005"
"925","B8w_C1yr",0.0148250000064241,"Otu0015"
"926","B8w_C1yr",0.0121947434259869,"Otu0022"
"927","B8w_C1yr",0.01006029990888,"Otu0018"
"997","B8w_C2yr",0.153484107057657,"Otu0003"
"998","B8w_C2yr",0.144721221003369,"Otu0008"
"999","B8w_C2yr",0.129880085535115,"Otu0002"
"1000","B8w_C2yr",0.122940448275969,"Otu0001"
"1001","B8w_C2yr",0.093911068465659,"Otu0006"
"1002","B8w_C2yr",0.077615910314329,"Otu0007"
"1003","B8w_C2yr",0.063850442146441,"Otu0009"
"1004","B8w_C2yr",0.056166218692664,"Otu0005"
"1005","B8w_C2yr",0.033290780996029,"Otu0011"
"1006","B8w_C2yr",0.0270211945514209,"Otu0010"
"1007","B8w_C2yr",0.0180655866616141,"Otu0020"
"1008","B8w_C2yr",0.013057873928381,"Otu0016"
"1009","B8w_C2yr",0.011062761621025,"Otu0015"
"1080","B8w_B1yr",0.18047570791857,"Otu0003"
"1081","B8w_B1yr",0.143975429246586,"Otu0008"
"1082","B8w_B1yr",0.136235880423885,"Otu0002"
"1083","B8w_B1yr",0.134330153027848,"Otu0001"
"1084","B8w_B1yr",0.104546537242383,"Otu0006"
"1085","B8w_B1yr",0.060510727863364,"Otu0007"
"1086","B8w_B1yr",0.041671107293906,"Otu0011"
"1087","B8w_B1yr",0.040089772614626,"Otu0010"
"1088","B8w_B1yr",0.023068509498253,"Otu0009"
"1089","B8w_B1yr",0.014858602823033,"Otu0005"
"1090","B8w_B1yr",0.014298240024723,"Otu0013"
