"","Comparison","SIMPER","OTU"
"7441","A8w_C2yr",0.0102348659399669,"Otu00016"
"8911","A8w_B1yr",0.103570765406083,"Otu00001"
"8912","A8w_B1yr",0.077252043093053,"Otu00046"
"8913","A8w_B1yr",0.075883174193184,"Otu00005"
"8914","A8w_B1yr",0.066305141378346,"Otu00012"
"8915","A8w_B1yr",0.061701512712572,"Otu00003"
"8916","A8w_B1yr",0.055350956948776,"Otu00037"
"8917","A8w_B1yr",0.045012552444244,"Otu00002"
"8918","A8w_B1yr",0.037145497920771,"Otu00103"
"8919","A8w_B1yr",0.033573815428389,"Otu00076"
"8920","A8w_B1yr",0.032467202002977,"Otu00007"
"8921","A8w_B1yr",0.024492193375522,"Otu00202"
"8922","A8w_B1yr",0.023051476118138,"Otu00066"
"8923","A8w_B1yr",0.021610758860755,"Otu00360"
"8924","A8w_B1yr",0.017765366332537,"Otu00010"
"8925","A8w_B1yr",0.0146950380411089,"Otu00013"
"8926","A8w_B1yr",0.014533905660235,"Otu00004"
"8927","A8w_B1yr",0.014523298117898,"Otu00016"
"8928","A8w_B1yr",0.0139976116823241,"Otu00031"
"8929","A8w_B1yr",0.013572393471051,"Otu00145"
"8930","A8w_B1yr",0.013149031602702,"Otu00006"
"10396","A8w_B2yr",0.077908671737676,"Otu00046"
"10397","A8w_B2yr",0.076047425284196,"Otu00012"
"10398","A8w_B2yr",0.068242169956494,"Otu00006"
"10399","A8w_B2yr",0.058069738398756,"Otu00011"
"10400","A8w_B2yr",0.055821340153664,"Otu00037"
"10401","A8w_B2yr",0.055672306861535,"Otu00004"
"10402","A8w_B2yr",0.050572392421262,"Otu00001"
"10403","A8w_B2yr",0.046113517237544,"Otu00019"
"10404","A8w_B2yr",0.0392176104611791,"Otu00002"
"10405","A8w_B2yr",0.037461244534317,"Otu00103"
"10406","A8w_B2yr",0.033859201790633,"Otu00076"
"10407","A8w_B2yr",0.033088975721007,"Otu00003"
"10408","A8w_B2yr",0.024700315753071,"Otu00202"
"10409","A8w_B2yr",0.0232473560028891,"Otu00066"
"10410","A8w_B2yr",0.021794396252709,"Otu00360"
"10411","A8w_B2yr",0.016718869684927,"Otu00009"
"10412","A8w_B2yr",0.0159753208587921,"Otu00032"
"10413","A8w_B2yr",0.015462306150993,"Otu00005"
"10414","A8w_B2yr",0.015100989307223,"Otu00016"
"10415","A8w_B2yr",0.014868871894687,"Otu00035"
"10416","A8w_B2yr",0.013687762426001,"Otu00145"
